PK,SK,companyName,creditLimit,remainingSpend,currency,status
COMPANY#019bffec-3afb-7b63-8461-a89366547b11,METADATA,Company AB,10000,5400,SEK,Active
COMPANY#019c1234-5678-90ab-cdef-123456789012,METADATA,Tech Innovators Oy,25000,12000,SEK,Active
COMPANY#019c2345-6789-0abc-def1-234567890123,METADATA,Stockholm Solutions,50000,48500,SEK,Active
COMPANY#019c3456-7890-abcd-ef12-345678901234,METADATA,Nordic Logistics,15000,2100,SEK,Suspended
COMPANY#019c4567-890a-bcde-f123-456789012345,METADATA,Gothenburg Design,8000,7500,SEK,Active
COMPANY#019c5678-90ab-cdef-1234-567890123456,METADATA,Malmo Retail Co,12000,4300,SEK,Active
COMPANY#019c6789-0abc-def1-2345-678901234567,METADATA,Uppsala BioTech,100000,95000,SEK,Active
COMPANY#019c7890-abcd-ef12-3456-789012345678,METADATA,Viking Energy,30000,15000,SEK,Active
COMPANY#019c890a-bcde-f123-4567-890123456789,METADATA,Fika Coffee Group,5000,1200,SEK,Active
COMPANY#019c901b-cdef-1234-5678-901234567890,METADATA,Lund Systems,20000,18900,SEK,Active
COMPANY#019ca12c-def1-2345-6789-012345678901,METADATA,Kiruna Mining,75000,32000,SEK,Active
COMPANY#019cb23d-ef12-3456-7890-123456789012,METADATA,Skane Agri,18000,17500,SEK,Active
COMPANY#019cc34e-f123-4567-8901-234567890123,METADATA,Orebro Manufacturing,40000,10500,SEK,Suspended
COMPANY#019cd45f-1234-5678-9012-345678901234,METADATA,Visby Tourism Ltd,10000,8800,SEK,Active
COMPANY#019ce560-2345-6789-0abc-def123456789,METADATA,Linkoping Tech,22000,21500,SEK,Active
COMPANY#019cf671-3456-7890-abcd-ef1234567890,METADATA,Arctic Exports,55000,44000,SEK,Active
COMPANY#019d0782-4567-890a-bcde-f12345678901,METADATA,Baltic Marine,35000,3000,SEK,Active
COMPANY#019d1893-5678-90ab-cdef-012345678902,METADATA,Solna Software,12500,11000,SEK,Active
COMPANY#019d2904-6789-0abc-def1-123456789012,METADATA,Umea Forest Products,60000,58000,SEK,Active
COMPANY#019d3015-7890-abcd-ef12-234567890123,METADATA,Vasteras Robotics,45000,42000,SEK,Active
